STATUS,Main Code,PLZ,ORT,STR,Telefon,Telefon Intern,E Mail,Main Typ,Stationsname,Manager,Bundesland,ID Checker,Switch,Port,IT Kommentar,TSR REMARKS,SN-PC,SN-SC,TV-ID,,PP,SW,FW,PP,SW
READY / FLICKERING / ERSATZ,BREW03,27751,DELMENHORST,NIEDERSACHSENDAMM 2,+49 (4221) 60553,,destBREW03@europcar.com,A,DELMENHORST,Ferhat Yalcin,NI,1,ECARBREW03AZS01,6,ok,,,,,,,,,,
READY,BWEC01,38102,BRAUNSCHWEIG,BERLINER PLATZ 1C,+49 (531) 244980,,destBWEC01@europcar.com,C,BRAUNSCHWEIG,Jan Dannemann,NI,1,ECARBWEC01AZS01,23,,,47455371453,201737 01554,,,B6,23,,,
READY,EMEC03,26723,EMDEN,BUTJADINGER STR 2,+49 (4921) 26820,,destEMEC03@europcar.com,A,EMDEN OSTFRIESLAND FROM 01.02.25,Miriam Heydemann,NI,1,ECAREMEC03AZS01,1,,,,,,,Direct,6,,,
READY,FMOE01,49084,OSNABRUECK,MINDENER STR 234,+49 (541) 338460,,destFMOE01@europcar.com,C,OSNABRUECK,Colin Larkin,NI,1,BBFMOE01AZS01,12,ok,,,,,,Direct,12,,,
READY,HAJC01,30519,HANNOVER,HEUERSTR 5,+49 (511) 8486490,,destHAJC01@europcar.com,CSS,HANNOVER VAN & TRUCK CARS IKC,Sean Paisley,NI,1,BBHAJC01AZS01,14,,,37911781553,201734 00758,,,1.14,14,,,
READY,HAJL01,30159,HANNOVER,ERNST-AUGUST-PLATZ 1,+49 (511) 3632993,,destHAJL01@europcar.com,CRR,HANOVER  MAINSTATION -IKC-,Jane Plachetta,NI,1,Switch voll,,,,,,,,,,,,
READY,HAJN01,30165,HANNOVER,VAHRENWALDER STR. 197,+49 (511) 358660,,destHAJN01@europcar.com,C,HANOVER NORTH TILL 12AM -IKC-,Daniel-Alexander Schulz,NI,1,ECARHAJN01AZS01,2,,IT-Rack covered with wood. Access Impossible,640470153,201737 01606,,,D8,2,,,
READY,HAJT01,30855,LANGENHAGEN,FLUGHAFENSTR. 4,+49 (511) 726110,,destHAJT01@europcar.com,CAP,HANOVER AIRPORT -IKC-,Detlef Sisolefsky,NI,2,ECARHAJT01AZS01,25 + 26,ja (26) nein (25),,47480571453,201840 00031,,,01->Port 24,25,,02-->Port B1,26
!!!!,LEYC01,26789,LEER,ZOOSTR 1,+49 (491) 64414,,destLEYC01@europcar.com,A,LEER,Wilfried De Vries,NI,1,ECARLEYC01AZS01,6,,,,,,,,,,,
READY,OENC01,26122,OLDENBURG / OLDENBURG,MOSLESTR. 74,+49 (441) 926800,,destOENC01@europcar.com,C,OLDENBURG/OLDENBURG,Georg Gardewin,NI,1,ECAROENC01ZS01,10,,,,,,,,,,,
READY,ZEUC01,37081,GOETTINGEN,GRONER LANDSTR. 27,+49 (551) 547190,,destZEUC01@europcar.com,A,GOETTINGEN,Rene Grimm,NI,1,Switch voll,,TSR steckt am Router MX (Port 6) und muss mit TC an Switch Port 5 getauscht werden ,,,,,,A7,5,,,
KEIN IDCHECKER,ZNOC02,31135,HILDESHEIM,PORSCHESTR 2,+49 (5121) 14767,,destZNOC02@europcar.com,A,HILDESHEIM,GETECT Eng. GmbH,NI,1,kein Switch vorhanden,,,No ID-Checker / Cable prepared,,,,,,,,,
READY,ZQUC01,38446,WOLFSBURG,DIESELSTR. 19,+49 (5361) 81570,,destZQUC01@europcar.com,C,WOLFSBURG,Marcel Kirschner,NI,1,ECARZQUC01AZS01,43,TSR steckt am PO Switch und muss umgesteckt werden,Port Switeched to 43,,,,,C3,43,,,
READY,AAHC01,52070,AACHEN,JUELICHER STR. 340,+49 (241) 958150,,destAAHC01@europcar.com,C,AACHEN -IKC-,Sellam Duenow,NW,1,ECARAAHC01AZS01,23,ok,,,,,,B1,23,,,
READY,BCOC01,46414,RHEDE,DAENNENDIEK 21,+49 (2872) 980277,,destBCOC01@europcar.com,A,RHEDE BOCHOLT,Angelika Siegert,NW,1,ECARBCOC01AZS01,7,,,,,,,,,,,
READY,BFEC01,33609,BIELEFELD,ECKENDORFER STR. 34,+49 (521) 529940,,destBFEC01@europcar.com,C,BIELEFELD,Markus Aktan,NW,1,ECARBFEC01AZS01,13,ok,,,,,,A12,13,,,
READY,BPEC01,53604,BAD HONNEF,HAUPTSTR. 102,+49 (2224) 72222,,destBPEC01@europcar.com,A,BAD HONNEF,Juergen Lemke,NW,1,ECARBPEC01AZS01,7,,,,,,,,,,,
READY,BXPC01,46242,BOTTROP,ESSENER STR. 155,+49 (2041) 28855,,destBXPC01@europcar.com,A,BOTTROP NEARBY MAINSTATION,Ralf Pauschert,NW,1,Switch voll,,,,,,,,Direct,,,,
READY,CGNE01,50679,KOELN,WILLY-BRANDT-PLATZ 2,+49 (221) 9810390,,destCGNE01@europcar.com,C,COLOGNE DEUTZ 24H OPEN -IKC-,Tomislav Grubisic,NW,1,ECARCGNE01AZS01,15,ok,,,,,,,,,,
READY,CGNE04,51067,KOELN,BERGISCH GLADBACHER STR. 696,+49 (221) 639900,,destCGNE04@europcar.com,A,COLOGNE  HOLWEIDE,Arslan und Oezoglan GbR,NW,1,ECARCGNE04AZS01,7,,,,,,,,,,,
READY,CGNL01,50667,KOELN,TRANKGASSE 11,+49 (221) 1392748,,destCGNL01@europcar.com,CRR,COLOGNE  MAINSTATION -IKC-,Christian Steuernagel,NW,1,Switch voll,,,,,,,,2,3,,,
READY,CGNN01,50739,KOELN,ROBERT-PERTHEL-STR. 28,+49 (221) 9584410,,destCGNN01@europcar.com,CSS,COLOGNE VAN & TRUCK CARS IKC,Filippo Zammitto,NW,1,ECARCGNN01AZS01,24,,,,,,,B3,24,,,
READY,CGNS01,50968,KOELN,KOBLENZER STR 1 9,+49 (2219) 347870,,destCGNS01@europcar.com,C,COLOGNE SOUTH IKC,Elvir Egrlic,NW,1,ECARCGNS01AZS02,2,,,,,,,A04,2,,,
READY,CGNW02,50825,KOELN,WIDDERSDORFER STR. 209,+49 (2213) 106350,,destCGNW02@europcar.com,C,COLOGNE EHRENFELD TILL 10PM -IKC-,Cem Inoenlue,NW,1,ECARCGNW02AZS01,9,,,,,,,B20,,,,
READY,CGNW04,50226,FRECHEN,EUROPAALLEE 115,+49 (2234) 15407,,destCGNW04@europcar.com,A,FRECHEN,Wolfgang Quaiser,NW,1,ECARCGNW03AZS01,12,,,,,,,,,,,
READY,DTMC01,44149,DORTMUND,SPICHERNER STR. 67,+49 (231) 9172130,,destDTMC01@europcar.com,C,DORTMUND   WEST -IKC-,Nedjat Tahiri,NW,1,ECARDTMC01AZS01,15,"steckt derzeit am Router, muss umgesteckt werden",TABLET DEFEKT / DISPLAY /UMGETAUSCHT,,,,,C17,15,,,
READY,DTMN01,44145,DORTMUND,EVINGERSTR 70,+49 (231) 5893686,,destDTMN01@europcar.com,C,DORTMUND NORTH -IKC-,Burkhard Kugelmeier,NW,1,BBDTMN01AZS01,20,"steckt am falschen Switch-Port, muss umgesteckt werden",,,,,,1.8,20,,,
READY,DTMN25,44143,DORTMUND,HANNOEVERSCHE STR. 107,+49 (231) 91721380,,destDTMN25@europcar.com,CSS,DORTMUND VAN TRUCK CARS IKC,Roland Brieskorn,NW,1,ECARDTMN25AZS01,4,,,,,,,A6,4,,,
READY,DTMT01,44319,DORTMUND,FLUGHAFENRING 1,+49 (231) 9271140,,destDTMt01@europcar.com,C,DORTMUND   AIRPORT,Eckhard Krautzun,NW,1,ECARDTMT01AZS01,37,ok,,,,,,A23,37,,,
READY,DUIC02,47051,DUISBURG,MAINSTR. 19,+49 (203) 335096,,destDUIC02@europcar.com,A,DUISBURG NEARBY MAINSTATION,Ralf Pauschert,NW,1,ECARDUIC02AZS01,1,,,,,,,Direct,1,,,
READY,DUSC01,40210,DUESSELDORF,BISMARCKSTR. 95,+49 (211) 173810,,destDUSC01@europcar.com,C,DUSSELDORF CITY-IKC*NO TRUCK RETURN,Patrick Fabelje,NW,1,ECARDUSC01AZS01,16,ok,,,,,,,,,,
READY,DUSN01,40468,DUESSELDORF,KIESHECKER WEG 141,+49 (211) 418840,,destDUSN01@europcar.com,CSS,DUSSELDORF  NORTH -IKC-,Michael Ronden,NW,1,Switch voll,,,New labled Patchcabel A5--> FW Port 10,,,,,A5,,10,,
READY,DUST01,40474,DUESSELDORF,FLUGHAFENSTR.120 ARRIVAL TERMINAL B,+49 (211) 942380,,destDUST01@europcar.com,CAP,DUSSELDORF   AIRPORT -IKC-,Hueseyin Sahin,NW,2,ECARDUST01AZS01,6 + 7,,Ports 6+7 full / Used 37,,,,,B10,37,,A13,
READY,DUSW02,52525,HEINSBERG,INDUSTRIESTR. 54,+49 (2452) 187688,,destDUSW02@europcar.com,A,HEINSBERG,Helga Kahlert,NW,1,ECARDUSW02AZS01,1,,TPLink Switch changed,,,,,,,,,
READY,DUSW03,41065,MOENCHENGLADBACH,KORSCHENBROICHER STR. 55,+49 (2161) 492870,,destDUSW03@europcar.com,C,MOENCHENGLADBACH,Markus Marschall,NW,1,ECARDUSW03AZS01,4,steckt derzeit am PO Switch und muss an den Cisco Switch Port 4,,,,,,A4,4,,,
READY,DUSW04,41812,ERKELENZ,GEWERBESTR. SUED 10,+49 (2431) 3535,,destDUSW04@europcar.com,A,ERKELENZ,Daniela Meyer,NW,1,ECARDUSW04AZS01,7,,Direct Patchcable to Switch,,,,,,,7,,
READY,DUSW07,41462,NEUSS,FURTHER STR. 3,+49 (2131) 7769560,,destDUSW05@europcar.com,C,NEUSS CENTER,Raimund Bein,NW,1,ECARDUSW05AZS01,11,ok,6LC has changed from DUSW05-->DUSW07,,,,,A18,11,,,
READY,ESSC01,45141,ESSEN,SCHUETZENBAHN 65,+49 (201) 247540,,destESSC01@europcar.com,C,ESSEN 24H-SERVICE,Tim Lieber,NW,1,ECARESSC01AZS01,15,,,,,,,A20,,,,
READY,ESSS01,45239,ESSEN,RUHRTALSTR. 101,+49 (201) 849550,,destESSS01@europcar.com,A,ESSEN SOUTH WERDEN,Laupendahler Kfz-GmbH,NW,1,ECARESSS01AZS02,3,,Printer on Port3 / 2 x 8 port Switches available,,,,,Direct,4,,,
READY,GEZC01,44793,BOCHUM,ALLEESTR. 53,+49 (234) 963030,2349630358,destGEZC01@europcar.com,C,BOCHUM,Heiko Feierabend,NW,1,ECARGEZC01AZS01,39,,,,,,,A4,39,,,
READY,GFHN01,53119,BONN,POTSDAMER PLATZ 7,+49 (228) 604340,,destGFHN01@europcar.com,C,BONN   NORTH 24H OPEN,Pedro Ferreira,NW,1,ECARGFHN01AZS01,20,ok,,,,,,D4,20,,,
READY,GFHS01,53177,BONN,KOBLENZER STR. 171,+49 (228) 333720,,destGFHS01@europcar.com,A,BONN  SOUTH BAD GODESBERG -IKC-,Willi Suelzen GmbH & Co. KG,NW,1,Switch voll,,,,,,,,,,,,
READY,GKCC01,58095,HAGEN,ELBERFELDER STR. 90,+49 (2331) 34680,,destGKCC01@europcar.com,C,HAGEN,Anja Pfeifer,NW,1,ECARGKCC01AZS01,14,ok,"ID Checker mitgenommen, Neuversand bei Wiedereröffnung BP",,,,,A11,14,,,
READY,GMJC01,51645,GUMMERSBACH,GUMMERSBACHER STR. 70,+49 (2261) 60320,,destGMJC01@europcar.com,C,GUMMERSBACH,Oliver Schwarz,NW,1,Switch voll,,,,,,,,7,,9,,
READY,ISEW02,58642,ISERLOHN LETMATHE,HAGENER STR. 162,+49 (2374) 3233,,destISEW02@europcar.com,A,ISERLOHN WEST LETMATHE,Alaca GmbH,NW,1,ECARISEW02AZS01,3,,,,,,,Direct,3,,,
READY,LVEC02,51373,LEVERKUSEN WIESDORF,CARL-DUISBERG-STR. 101,+49 (214) 870933,,destLVEC02@europcar.com,A,LEVERKUSEN  WIESDORF -IKC-,Arslan und Oezoglan GbR,NW,1,ECARLVEC02AZS01,14,,Cisco 8-Port Switch on Port 6,,,,,,6,,,
READY,MSRC01,48153,MUENSTER,MUENSTERMANNWEG 14,+49 (251) 777730,,destMSRC01@europcar.com,C,MUENSTER,Vanessa Kohlmann,NW,1,ECARMSRC01AZS01,11,"steckt am Router MX, muss umgesteckt werden",,,,,,A17,11,,,
READY,OBRC01,46149,OBERHAUSEN,BUSCHHAUSENER STR. 185,+49 (208) 823480,,destOBRC01@europcar.com,C,OBERHAUSEN,Tobias Friske,NW,1,ECAROBRC01AZS01,16,,,,,,,B06,16,,,
READY,PADC02,33102,PADERBORN,ELSENER STR. 50-52,+49 (5251) 180810,,destPADC02@europcar.com,C,PADERBORN,Nicole Weis,NW,1,ECARPADC02AZS01,14,,,,,,,A7,14,,,
READY,QBON03,45661,RECKLINGHAUSEN,DIESELSTR 9,+49 (2361) 9064620,,destQBON03@europcar.com,A,RECKLINGHAUSEN,Alaca GmbH,NW,1,BBQBON03AZS01,20,,,,,,,Direct,20,,,
READY,QBON04,44628,HERNE,CASTROPER STR 7,+49 (2323) 51177,,destQBON04@europcar.com,A,HERNE NO TRUCKS,ALACA GmbH,NW,1,ECARQBON04AZS01,2,TSR steckt am Router MX (Port3) und muss mit dem TC getauscht werden.,,,,,,,,,,
READY,QBOS01,45525,HATTINGEN,BRUCHSTR. 37,+49 (2324) 24817,,destQBOS01@europcar.com,A,HATTINGEN/RUHR,Quang Hien Pham,NW,1,ECARQBOS01AZS01,4,,,,,,,Direct,4,,,
READY / FLICKERING / ERSATZ / ERLEDIGT,QKFC03,47799,KREFELD,UERDINGER STR. 72-74,+49 (2151) 81800,,destQKFC03@europcar.com,A,KREFELD NO TRUCKS,Rene Lortz & Dirk Ulrich GbR,NW,1,ECARQKFC03AZS01,12,,,,,,,A4,12,,,
READY,RTJC01,40878,RATINGEN,SANDSTR. 65,+49 (2102) 470686,,destRTJC01@europcar.com,A,RATINGEN,Gwiasda Fahrzeugvermietungs - und Handelsgesellschaft mbH,NW,1,Switch voll,,,"Switch Full, No spare Switch",,,,,A9,,3,,
READY,SGEC01,57072,SIEGEN,SANDSTR. 147,+49 (271) 489800,,destSGEC01@europcar.com,C,SIEGEN,Boris Klaas,NW,1,ECARSGEC01AZS01,19,,,,,,,B8,19,,,
READY,UWPC04,42285,WUPPERTAL,CLAUSENSTR 32,+49 (202) 248130,,destUWPC04@europcar.com,A,WUPPERTAL,FINALE MOBILITAET GMBH,NW,1,ECARUWPC04ZS01,27,,Port Labeling in Rack completely wrong,,,,,10,27,,,
READY,UWPS02,42653,SOLINGEN,SCHLAGBAUMER STR. 14-16,+49 (212) 252140,,destUWPS02@europcar.com,A,SOLINGEN,Maik Baumeister,NW,1,ECARUWPS02AZS01,5,,,,,,,Direct,,,,
READY,ZCKC02,50321,BRUEHL,RHEINSTR. 209,+49 (2232) 566819,,destZCKC02@europcar.com,A,BRUEHL,Lahbib Rabhioui,NW,1,ECARZCKC02ZS01,3,,,,,,,12,3,,,
READY,ZEDC02,53879,EUSKIRCHEN,EIFELRING 45 49,+49 (2251) 866140,,destZEDC02@europcar.com,A,EUSKIRCHEN,Thomas Schneider,NW,1,ECARZEDC02AZS01,1,,,,,,,,,,,
READY,ZNTC02,50170,KERPEN SINDORF,DIESELSTR. 17,+49 (2273) 570369,,destZNTC02@europcar.com,A,KERPEN SINDORF,Christoph Graeser,NW,1,Switch voll,,,"Switch Full, Connected to FW Port1",,,,,P1.1,,1,,
READY,ZOCC01,58507,LUEDENSCHEID,LENNESTR 92,+49 (2351) 432340,,destZOCC01@europcar.com,A,LUEDENSCHEID NO TRUCKS,Florian Thomas Gabel,NW,1,ECARZOCC01AZS01,2,,,,,,,,,,,
READY,ZOHC01,44536,LUENEN,DORTMUNDER STR. 39,+49 (2306) 6054,,destZOHC01@europcar.com,A,LUENEN NO TRUCKS,Daniel Schwenkert,NW,1,Switch voll,,,,,,,,,,,,
READY,ZOMC03,32423,MINDEN,POTSDAMER STR 7,+49 (571) 837050,,destZOMC03@europcar.com,A,MINDEN,Jofyn GmbH Sandner + Figura,NW,1,ECARZOMC03AZS02,1,,,,,,,,,,,
READY,ZOON01,45468,MUELHEIM AN DER RUHR,DICKSWALL 60,+49 (208) 308070,,destZOON01@europcar.com,A,MUELHEIM / RUHR,Yaman Brothers GmbH,NW,1,ECARZOON01AZS02,5,,,,,,,Direct,5,,,
READY,ZPNC02,42853,REMSCHEID,FREIHEITSTR. 14-18,+49 (2191) 49380,,destZPNC02@europcar.com,A,REMSCHEID NO TRUCKS,Hekubar GmbH,NW,1,ECARZPNC02AZS01,4,,,,,,,Direct,4,,,
READY,ZPYC02,53757,SANKT AUGUSTIN,EINSTEINSTR 10,+49 (2241) 938370,,destZPYC02@europcar.com,A,SANKT AUGUSTIN,Thomas Schneider,NW,1,ECARZPYC02AZS01,8,,,,,,,19,8,,,
READY,ZQEC01,52222,STOLBERG,ESCHWEILERSTR. 133,+49 (2402) 23232,,destZQEC01@europcar.com,A,STOLBERG,Holger Ziesche,NW,1,ECARZQEC01AZS01,6,,"No free Sockets, TPLink miniSwitch used",,,,,,,,,
READY,ZQPW02,47533,KLEVE,TICHELSTR. 14,+49 (2821) 26740,,destZQPW02@europcar.com,A,KLEVE NO TRUCKS,Rene Lortz & Dirk Ulrich GbR,NW,1,ECARZQPW02AZS01,5,,,,,,,Direct,5,,,
READY,HHNT01,55483,HAHN-FLUGHAFEN,TERMINAL - CAR RENTAL CENTER,+49 (6543) 8734995,,destHHNT01@europcar.com,C,HAHN AIRPORT,Mirko Franken,RP,1,Switch voll,,,,,,,,3,,9,,
READY / NEUEN SCANNER + USB-HUB SENDEN,KLTC01,67663,KAISERSLAUTERN,PARISER STR. 200,+49 (631) 371200,,destKLTC01@europcar.com,C,KAISERSLAUTERN,Heinz Degen,RP,1,ECARKLTC01ZS01,25,muss von Port 35 auf Port 25 umgesteckt werden,,,,,,C2,25,,,
READY,KLTS04,76829,LANDAU,QUEICHHEIMER HAUPTSTR 249,+49 (6341) 649114,,destKLTS04@europcar.com,C,LANDAU,Dominik Schmid,RP,1,Switch voll,,könnte aber am PO Switch angesteckt werden,,,,,,Direct,,6,,
READY,LWFC01,67059,LUDWIGSHAFEN,ROHRLACHSTR. 110,+49 (6215) 91550,,destLWFC01@europcar.com,C,LUDWIGSHAFEN,Janine Stich,RP,1,ECARLWFC01AZS01,11,,,,,,,A8,11,,,
READY,QMZC01,55120,MAINZ,RHEINALLEE 104,+49 (6131) 913500,,destQMZC01@europcar.com,C,MAINZ,Felix Niederberger,RP,1,ECARQMZC01AZS01,2,,,,,,,A6,2,,,
READY,QMZS01,55543,BAD KREUZNACH,BOSENHEIMER STR 284,+49 (671) 886820,,destQMZS01@europcar.com,C,BAD KREUZNACH,Bernd Gaens,RP,1,BBQMZS01AZS01,20,,,,,,,,,,,
READY,RMSC01,66877,RAMSTEIN,KINDSBACHER STR. 47,+49 (6371) 8024604,,destRMSC01@europcar.com,C,RAMSTEIN,Jenny Bollini,RP,1,ECARRMSC01AZS01,18,,,,,,,Direct,4,,,
READY,SPMS01,54295,TRIER,SCHOENBORNSTR. 18A,+49 (651) 146540,,destSPMS01@europcar.com,C,TRIER -IKC-,CAROLIN KOEHLER,RP,1,BBSPMS01AZS01,11,,,,,,,Direct,11,,,
READY,ZNVC01,56070,KOBLENZ,ANDERNACHER STR. 199,+49 (261) 889180,,destZNVC01@europcar.com,C,KOBLENZ,Holger Albracht,RP,1,ECARZNVC01AZS01,27,TSR steckt am MX auf Port 4 und muss umgesteckt werden,,,,,,C1,27,,,
READY,EUMC03,24536,NEUMUENSTER,KIELER STR. 203,+49 (4321) 93790,,destEUMC03@europcar.com,A,NEUMUENSTER,Autovermietung Itzehoe GmbH,SH,1,ECAREUMC03AZS01,1,,,47891671453,201743 00744,,,,,,,
READY,EUMC04,25524,ITZEHOE,POTTHOFSTR. 1A,+49 (4821) 734686,,desteumc04@europcar.com,A,ITZEHOE,Autovermietung Itzehoe GmbH,SH,1,Switch voll,,,"Switch Full, Lan Cable for new Switch is prepared",,,,,,,,,
READY,FLFC01,24941,FLENSBURG,ZUR BLEICHE 51,+49 (461) 902900,,destFLFC01@europcar.com,C,FLENSBURG,Nicole Hintze,SH,1,ECARFLFC01AZS01,13,,,,201738 00990,,,B5,13,,,
READY,KELC01,24113,KIEL,STORMARNSTR. 41,+49 (431) 661770,,destKELC01@europcar.com,C,KIEL,Sonja-Katrin Westphal,SH,1,ECARKELC01AZS01,16,,,50165454853,201737 01608,,,P1-5,16,,,
READY,LBCC01,23554,LUEBECK,FACKENBURGER ALLEE 32 A - 38,+49 (451) 484160,,destLBCC01@europcar.com,C,LUEBECK,Roland Rojko,SH,1,ECARLBCC01BZS01,14,,,,,,,A14,,,,
READY,ZOVC02,22850,NORDERSTEDT,SEGEBERGER CHAUSSEE 3,+49 (40) 5298670,,destzovc02@europcar.com,C,NORDERSTEDT ,Hussein Salum Dienstleistungen,SH,1,ECARNHBC01AZS01,17,steckt am PO Switch und muss umgesteckt werden.  Settings auf Port 17 geändert,Port 16 not free,,,,,A2,17,,,
READY,SCNC01,66121,SAARBRUECKEN,MAINZER STR. 152-154,+49 (681) 967540,,destSCNC01@europcar.com,C,SAARBRUECKEN,Sascha Schneider,SL,1,ECARSCNC01AZS01,14,,Switch Full -->FW Port7,,,,,22,,7,,
READY,ZQWN01,66424,HOMBURG,BERLINER STR 130,+49 (6841) 2008,,destZQWN01@europcar.com,C,HOMBURG / SAAR,Bernd Stephan,SL,1,BBZQWN01AZS01,20,ok,,,,,,1#11#2,,,,
READY,BPZC01,2625,BAUTZEN,DRESDENER STR. 88 B,+49 (3591) 529530,,destBPZC01@europcar.com,A,BAUTZEN,Henry Hein,SN,1,ECARBPZC01AZS01,2,jetzt online,,,,,,,,,,
READY,CHWC01,9116,CHEMNITZ,NEEFESTR. 149,+49 (371) 281310,,destCHWC01@europcar.com,C,CHEMNITZ TILL 12AM,Sebastian Bonitz,SN,1,ECARCHWC01AZS01,15,,,,,,,,,,,
READY,DRSC02,1069,DRESDEN,STREHLENER STR. 5,+49 (351) 877320,,destDRSC02@europcar.com,C,DRESDEN  CITY  NO TRUCKS,Martin Heymann,SN,1,ECARDRSC02AZS01,6,,,,,,,,,,,
READY/CLOSED,DRSN01,1097,DRESDEN,SCHLESISCHER PLATZ 1,+49 (351) 828240,,destDRSN01@europcar.com,C,DRESDEN  NEUSTAEDTER BAHNHOF,Mario Weber,SN,1,ECARDRSN01AZS01,18,,Station schließt,,,,,,,,,
READY,DRSN25,1239,DRESDEN,HAUBOLDSTR. 5-7,+49 (351) 8282400,,destDRSN25@europcar.com,CSS,DRESDEN VAN TRUCKS CARS,Pia Schaale,SN,1,ECARDRSN25AZS01,14,ok,,,,,,,,,,
READY,DRST01,1109,DRESDEN,WILHELMINE-REICHARD-RING 1,+49 (351) 89732971,,destDRST01@europcar.com,C,DRESDEN AIRPORT TILL 12AM -IKC-,Mario Weber,SN,1,ECARDRST01AZS01,19,,,,,,,,,,,
READY / FLICKERING / ERSATZ / ERLEDIGT,LEJC01,4179,LEIPZIG,LUETZNER STR. 179,+49 (341) 904440,,destLEJC01@europcar.com,CSS,LEIPZIG VAN & TRUCK CARS IKC,Jens Kraehe,SN,1,ECARLEJC01AZS01,18,ok,,,,,,,,,,
READY,LEJC02,4103,LEIPZIG,SACHSENSEITE 3,+49 (341) 141160,,destLEJC02@europcar.com,C,LEIPZIG CITY *NO TRUCKS* -IKC-,Matthias Heinemann-Kruschinski,SN,1,ECARLEJC02AZS01,5,,,,,,,,,,,
READY/CLOSED,LEJT01,4435,SCHKEUDITZ,TERMINALRING 13,+49 (34204) 7700,,destLEJT01@europcar.com,C,LEIPZIG   AIRPORT -IKC-,Matthias Heinemann-Kruschinski,SN,1,ECARLEJT01AZS01,15,,,,,,,,,,,
READY,ZTZE02,9599,FREIBERG / SACHSEN,ANTON-GUENTHER-STR. 1 B,+49 (3731) 22980,,destZTZE02@europcar.com,A,FREIBERG/SACHSEN,Hanka Schubert,SN,1,ECARZTZE02AZS01,7,,Polycom Fax Wandler an Port 7 / IDChecker an Port 3,,,,,,,,,
READY,ZWIC01,8056,ZWICKAU,OSKAR-ARNOLD-STR. 10,+49 (375) 277340,,destZWIC01@europcar.com,C,ZWICKAU,Robby Mohnhaupt,SN,1,ECARZWIC01AZS01,18,,,,,,,,,,,
READY / FLICKERING / NEUES TABLET SENDEN,MQGC01,39124,MAGDEBURG,LUEBECKER STR. 85,+49 (391) 280800,,destMQGC01@europcar.com,C,MAGDEBURG TILL 10PM,Jan Dannemann,ST,1,ECARMQGC01AZS01,23,ok,,,201734 00760,,,A15,23,,,
READY,TXSC01,6712,ZEITZ,BAENSCHSTR. 4-7,+49 (3441) 713839,,destTXSC01@europcar.com,A,ZEITZ *NO TRUCKS*,Falk Heiland GmbH,ST,1,ECARTXSC01AZS01,6,,,,,,,,,,,
READY,ZHZC01,6112,HALLE SAALE,GRENZSTR 17,+49 (345) 566630,,destZHZC01@europcar.com,A,HALLE SAALE,Rene Grimm,ST,1,ECARZHZC01AZS01,23,,,,,,,,,,,
READY,ZSUC03,6844,DESSAU,ELISABETHSTR 40,+49 (340) 850700,,destzsuc03@europcar.com,A,DESSAU,Mobily GmbH,ST,1,ECARZSUC03AZS01,6,,,,,,,,,,,
READY,ERFC01,99099,ERFURT,WEIMARISCHE STR. 32,+49 (361) 778130,,destERFC01@europcar.com,C,ERFURT,Frances Pietsch,TH,1,ECARERFC01AZS02,7,,,,,,,,,,,
READY,HQTC01,7548,GERA,LEIBNIZSTR. 74,+49 (365) 823390,,destHQTC01@europcar.com,C,GERA,Tanja Lauterbach,TH,1,ECARHQTC01AZS01,21,,,,,,,,,,,
READY,FRAT02,60549,FRANKFURT AM MAIN,"TERMINAL 2, LEVEL 2, HALLE D",,,destFRAT01@europcar.com,,FRANKFURT AP T2 ,Erdal Kasarca,,1,ECARFRAT02AZS01,19,,"No Tablet Available, Used Spare Tablet. Just Scanner Available",,,,,A11,,,,
READY,ZQPC02,46485,WESEL,CLARENBACHSTR. 7,49281338482,,destZQPC02@europcar.com,A,,,,1,ECARZQPC02AZS01,1,,,,,,,,,,,
NEU / KOMPLETTSET VERSCHICKEN,BWEN02,38112,BRAUNSCHWEIG,SCHMALBACHSTR. 1,0531-24498325,,destBWEN02@europcar.com,C,Braunschweig Nord,Kevin Schneider,,1,kein Switch vorhanden,,,,,,,,,,,,
READY,QULE01,73529,Schwäbisch-Gmünd,Lorcher Str. 141,07171- 929770,,destqule01@europcar.com,C,Schwäbisch Gmünd,Rene Schwerdtfeger,,,BBQULE01AZS01,12,,,,,,,,,,,
NEU / KOMPLETTSET VERSCHICKEN,ZPFC03,94032,Passau,Haitzinger Str. 22a,0851- 7561077,,destZPFC03@europcar.com,C,Passau,Marc Ossunde,,,ECARZPFC03AZS01,7,,derzeitiges Device an Port 7 muss auf den Router Port 8 ,,,,,,,,,
Muss besucht werden,CBUS01,2977,Hoyerswerda,Spremberger Chaussee 2,03571-406353,,,,,,,,ECARCBUS01AZS01,2,,,,,,,,,,,
Teile müssen abgeholt werden,BERC03,12167,Berlin,Albrechtstr. 21a,030- 75650189,,destBERC03@europcar.com,A,Berlin Südwest Steglitz,Martin Waehl,B,,ECARBERC03AZS01,5,,,,,,,,,,,
Existierte beim Rollout nicht,BWET02,,Braunschweig AP??????,,,,,,,,,,,,,,,,,,,,,,
